1,1,1,220,95,0
2,1,1,300,95,1
3,1,1,300,245,2
4,1,1,220,245,3
5,1,5,150,70,0
6,1,5,220,70,1
7,1,5,220,270,2
8,1,5,150,270,3
9,1,5,150,70,4
101,5,101,340,95,0
102,5,101,340,245,1
103,5,103,420,95,0
104,5,103,420,245,1
105,5,105,150,70,0
106,5,105,220,70,1
107,5,105,220,270,2
108,5,105,150,270,3
109,5,105,150,70,4
111,5,111,220,95,0
112,5,111,500,95,1
113,5,111,500,245,2
114,5,111,220,245,3
115,6,115,150,70,0
116,6,115,220,70,1
117,6,115,220,270,2
118,6,115,150,270,3
119,6,115,150,70,4
120,6,120,220,100,0
121,6,120,350,100,1
122,6,120,350,250,2
123,6,120,220,250,3
139,7,139,150,70,0
140,7,139,220,70,1
141,7,139,220,270,2
142,7,139,150,270,3
143,7,139,150,70,4
144,7,144,220,100,0
145,7,144,350,100,1
146,7,144,350,250,2
147,7,144,220,250,3
148,10,148,150,70,0
149,10,148,220,70,1
150,10,148,220,270,2
151,10,148,150,270,3
152,10,148,150,70,4
153,10,153,220,100,0
154,10,153,400,100,1
155,10,153,400,250,2
156,10,153,220,250,3
157,10,157,300,100,0
158,10,157,300,250,1
159,11,159,150,70,0
160,11,159,220,70,1
161,11,159,220,270,2
162,11,159,150,270,3
163,11,159,150,70,4
164,11,164,220,100,0
165,11,164,350,100,1
166,11,164,350,250,2
167,11,164,220,250,3
168,12,168,150,70,0
169,12,168,220,70,1
170,12,168,220,270,2
171,12,168,150,270,3
172,12,168,150,70,4
173,12,173,220,100,0
174,12,173,400,100,1
175,12,173,400,250,2
176,12,173,220,250,3
177,12,177,325,100,0
178,12,177,325,250,1
179,3,179,150,65,0
180,3,179,220,65,1
181,3,179,220,275,2
182,3,179,150,275,3
183,3,179,150,65,4
184,3,184,220,75,0
185,3,184,300,75,1
186,3,184,300,250,2
187,3,184,220,250,3
188,4,188,150,70,0
189,4,188,220,70,1
190,4,188,220,270,2
191,4,188,150,270,3
192,4,188,150,70,4
193,4,193,220,95,0
194,4,193,400,95,1
195,4,193,400,245,2
196,4,193,220,245,3
197,4,197,340,95,0
198,4,197,340,245,1
199,9,199,395,70,0
200,9,199,465,70,1
201,9,199,465,270,2
202,9,199,395,270,3
203,9,199,395,70,4
204,9,204,395,95,0
205,9,204,170,95,1
206,9,204,170,245,2
207,9,204,395,245,3
208,9,208,295,95,0
209,9,208,295,245,1
210,13,210,150,70,0
211,13,210,220,70,1
212,13,210,220,270,2
213,13,210,150,270,3
214,13,210,150,70,4
215,13,215,220,100,0
216,13,215,400,100,1
217,13,215,400,250,2
218,13,215,220,250,3
219,14,219,150,70,0
220,14,219,220,70,1
221,14,219,220,270,2
222,14,219,150,270,3
223,14,219,150,70,4
224,14,224,220,100,0
225,14,224,500,100,1
226,14,224,500,250,2
227,14,224,220,250,3
228,15,228,150,70,0
229,15,228,220,70,1
230,15,228,220,270,2
231,15,228,150,270,3
232,15,228,150,70,4
233,15,233,220,100,0
234,15,233,500,100,1
235,15,233,500,250,2
236,15,233,220,250,3
237,16,237,150,70,0
238,16,237,220,70,1
239,16,237,220,270,2
240,16,237,150,270,3
241,16,237,150,70,4
242,16,242,220,100,0
243,16,242,500,100,1
244,16,242,500,250,2
245,16,242,220,250,3
